timestamp,algorithm,message,message_length_chars,original_bits,encoded_bits,overhead_bits,overhead_percentage,error_mode,error_probability,forced_bit,flipped_bits,status,message_recovered,elapsed_ms,request_algorithm,response_algorithm,request_flipped_bits,response_flipped_bits,request_recovered,response_recovered,request_status,response_status,round_trip_ms
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.513,HAMMING,HAMMING,0,0,true,true,ok,ok,2.513
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.659,HAMMING,HAMMING,0,0,true,true,ok,ok,2.659
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.596,HAMMING,HAMMING,0,0,true,true,ok,ok,2.596
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.553,HAMMING,HAMMING,0,0,true,true,ok,ok,2.553
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.087,HAMMING,HAMMING,0,0,true,true,ok,ok,2.087
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.380,HAMMING,HAMMING,0,0,true,true,ok,ok,2.380
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.300,HAMMING,HAMMING,0,0,true,true,ok,ok,2.300
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.622,HAMMING,HAMMING,0,0,true,true,ok,ok,2.622
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.508,HAMMING,HAMMING,0,0,true,true,ok,ok,2.508
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,1.630,HAMMING,HAMMING,0,0,true,true,ok,ok,1.630
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,3.506,HAMMING,HAMMING,0,0,true,true,ok,ok,3.506
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.694,HAMMING,HAMMING,0,0,true,true,ok,ok,2.694
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.553,HAMMING,HAMMING,0,0,true,true,ok,ok,2.553
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.736,HAMMING,HAMMING,0,0,true,true,ok,ok,2.736
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,1,ok,true,1.511,HAMMING,HAMMING,1,0,true,true,corrected,ok,1.511
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.336,HAMMING,HAMMING,0,0,true,true,ok,ok,2.336
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.622,HAMMING,HAMMING,0,0,true,true,ok,ok,2.622
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.655,HAMMING,HAMMING,0,0,true,true,ok,ok,2.655
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.562,HAMMING,HAMMING,0,0,true,true,ok,ok,2.562
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.001000,0,0,ok,true,2.969,HAMMING,HAMMING,0,0,true,true,ok,ok,2.969
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.550,HAMMING,HAMMING,0,0,true,true,ok,ok,2.550
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.613,HAMMING,HAMMING,0,0,true,true,ok,ok,2.613
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.514,HAMMING,HAMMING,0,0,true,true,ok,ok,2.514
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.570,HAMMING,HAMMING,0,0,true,true,ok,ok,2.570
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.824,HAMMING,HAMMING,0,0,true,true,ok,ok,2.824
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.005000,0,0,ok,true,2.589,HAMMING,HAMMING,0,0,true,true,ok,ok,2.589
